,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,合计,3项,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,星期日,,,星期一,,,星期二,,,星期三,,,星期四,,,星期五,,,星期六,,,,,,确定,1,日常,1项,√,已完成,1项,33.33%,66.67%
,,1,廿三,,2,廿四,,3,廿五,,4,廿六,,5,廿七,,6,廿八,,7,立冬,,,,,待确定,2,一般,1项,●,进行中,1项,33.33%,66.67%
,,,,,,,,,,,,,,,,,1,审核U项目,√,,,,,,,计划,3,重要,1项,○,未开始,1项,33.33%,66.67%
,,,,,,,,,,,,,,,,,2,采购W项目,●,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,3,P项目预算,○,,,,,,,,,,,,,,,
,,8,三十,,9,十月,,10,初二,,11,初三,,12,初四,,13,初五,,14,初六,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,初七,,16,初八,,17,初九,,18,初十,,19,十一,,20,十二,,21,十三,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,小雪,,23,十五,,24,十六,,25,十七,,26,感恩节,,27,十九,,28,二十,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,廿一,,30,廿二,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
