,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,合计,1项,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,星期日,,,星期一,,,星期二,,,星期三,,,星期四,,,星期五,,,星期六,,,,,,确定,1,日常,1项,√,已完成,0项,0.00%,100.00%
,,1,十四,,2,十五,,3,十六,,4,立春,,5,十八,,6,十九,,7,二十,,,,,待确定,2,一般,0项,●,进行中,0项,0.00%,100.00%
,,1,香港研学营,,,,,,,,,,,,,,,,,,,,,,,计划,3,重要,0项,○,未开始,0项,0.00%,100.00%
,,,@Tracy安超,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,廿一,,9,廿二,,10,北方小年,,11,南方小年,,12,廿五,,13,廿六,,14,情人节,,,,,,,,,,,,,
,,,DJ研学营,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,@Jennini(Jennini),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,新加坡研学营,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,@Tina(周超Tina),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,廿五,,16,除夕,,17,春节,,18,雨水,,19,初三,,20,初四,,21,初五,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,初六,,23,初七,,24,初八,,25,初九,,26,初十,,27,十一,,28,十二,,,,,,,,,,,,,
,,,,,,AI+思辨营,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,@何潮航 Cooper@小E(小E),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
