,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,合计,2项,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,星期日,,,星期一,,,星期二,,,星期三,,,星期四,,,星期五,,,星期六,,,,,,确定,1,日常,1项,√,已完成,0项,0.00%,100.00%
,,,,,,,,,,,,,,1,元旦,,2,十四,,3,十五,,,,,待确定,,一般,0项,●,进行中,1项,50.00%,50.00%
,,,,,,,,,,,,,,,,,,,,1,CTB 活动,,,,,计划,3,重要,1项,○,未开始,1项,50.00%,50.00%
,,,,,,,,,,,,,,,,,,,,,@Maggie(Maggie),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,十六,,5,小寒,,6,十八,,7,十九,,8,二十,,9,廿一,,10,中国人民警察节,,,,,,,,,,,,,
,,3,Empact中国战略会,●,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,@Maggie(Maggie),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,廿三,,12,廿四,,13,廿五,,14,廿六,,15,廿七,,16,廿八,,17,廿九,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,三十,,19,十一月,,20,大寒,,21,初三,,22,初四,,23,初五,,24,初六,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,凯德战略会workshop,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,@Maggie(Maggie),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,初七,,26,腊八节,,27,初九,,28,初十,,29,十一,,30,十二,,31,十三,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2,1月月月营,○,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,@小E(小E) @Tina(周超Tina),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
